"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000419",375.332069500155,-1.04420973797072,0.204458486306596,-5.10719685366776,3.26973065544654e-07,3.28294041761745e-06
"ENSG00000000460",276.456155836393,-1.00953152676121,0.234967950745816,-4.29646478831195,1.7354351946585e-05,0.000107389569373046
"ENSG00000000971",306.440389836671,-1.21667174667246,0.339817534671291,-3.58036776368634,0.000343110951627023,0.00147844786702562
"ENSG00000001084",595.516556598846,0.946657319161687,0.241634026134322,3.91773184557811,8.9386060383484e-05,0.000454506867830673
"ENSG00000001167",1217.93706108677,0.837346858269872,0.163778707399794,5.11267228545074,3.17633067356216e-07,3.21016068654549e-06
"ENSG00000001461",987.395039609521,0.551786606954038,0.186748177283968,2.95470946479437,0.00312963622022421,0.0100353719792026
"ENSG00000001561",881.791497207639,-0.721699409970049,0.245383214157133,-2.94111156889445,0.00327036718721193,0.010422309768163
"ENSG00000001629",1991.76635691691,-1.07289541512098,0.230858665676464,-4.6474123549886,3.36124830970028e-06,2.56092772676288e-05
"ENSG00000002016",161.23824900297,0.803572905772875,0.215976020624803,3.72065798530873,0.000198704390543586,0.000919849400609344
"ENSG00000002330",287.411882148302,-1.64659688226926,0.251913862147395,-6.53634884651897,6.30387848411195e-11,1.67514978658759e-09
"ENSG00000002746",31.5875770623782,2.92802600603813,0.508631080342622,5.75667928917315,8.57846653394703e-09,1.30148304769388e-07
"ENSG00000002822",929.275511486454,-1.27133376629603,0.226580467766162,-5.61095922711255,2.0120817236775e-08,2.76343539891391e-07
"ENSG00000002919",1216.67129596117,-0.648763453498721,0.247165499219249,-2.62481396290359,0.00866963222178399,0.0238392047236516
"ENSG00000003056",4337.53752185458,-0.358334132308217,0.148691959417221,-2.40990927628274,0.015956487825521,0.0399409640102611
"ENSG00000003096",23.4961643512385,-1.54248999747377,0.651320341748039,-2.36825091833302,0.0178724102017487,0.0438657396740624
"ENSG00000003402",12008.273557514,0.904836634010906,0.178745304457866,5.06215610393387,4.14541372458774e-07,4.01389874371492e-06
"ENSG00000003756",4146.6544407075,0.954230893154379,0.132645020977373,7.1938689151186,6.29806651147146e-13,2.85087915167276e-11
"ENSG00000004059",2595.01918423396,-1.38072972213268,0.206042074556225,-6.70120277669746,2.0671095476546e-11,6.2072754483368e-10
"ENSG00000004142",924.645449554728,-1.2642876204697,0.178189111472582,-7.09520132864145,1.29163313497958e-12,5.33309599007789e-11
"ENSG00000004455",2429.88732781768,-0.720638968786924,0.171229077603894,-4.20862495360738,2.56929434884986e-05,0.000151464986531706
"ENSG00000004478",738.893433890326,-0.504938822338928,0.143782304044322,-3.51182870308766,0.00044503474338664,0.00185813090926136
"ENSG00000004534",1510.79826747905,1.06284021655435,0.168481555033182,6.30834761909118,2.82030212955357e-10,6.30640823227939e-09
"ENSG00000004660",204.319895832391,0.806382890906842,0.267199033768273,3.01791095399758,0.00254523681214962,0.00841142834840973
"ENSG00000004700",1778.47615339615,-0.825470301420251,0.179106225277944,-4.60883087753793,4.04939546537305e-06,3.01652796656894e-05
"ENSG00000004766",1315.16329065872,-1.24566520334937,0.245629612280182,-5.07131526930262,3.95075647188367e-07,3.85257810664441e-06
"ENSG00000004779",284.589399273054,-1.09572630044268,0.181684981919545,-6.03091289586002,1.6303605061956e-09,2.96966361732887e-08
"ENSG00000004799",832.216594423414,-1.38395007642449,0.328638774452975,-4.21115882849823,2.54064033801941e-05,0.000150131362365526
"ENSG00000004809",98.3441856261123,-1.16249961672063,0.368599363159167,-3.15382969399933,0.00161143094435273,0.00567021177088519
"ENSG00000004838",14.7413879140418,1.18059966823378,0.493785648150697,2.39091531447968,0.0168064289156734,0.0416410712641946
"ENSG00000004866",187.490347721239,-0.703124077712304,0.262696688426352,-2.67656239568253,0.00743817144584938,0.0209678172063778
"ENSG00000004961",351.086939285848,-0.63129573211972,0.222248106395583,-2.84049993657118,0.00450428819235265,0.0137065536277194
"ENSG00000004975",404.241070930831,-0.403267088409403,0.170973728345756,-2.35864943878329,0.0183415732573521,0.0448162932067099
"ENSG00000005022",2282.01387365185,-0.890231914888058,0.161556202823383,-5.51035428742579,3.58112159381805e-08,4.61478360447812e-07
"ENSG00000005059",1269.3366590907,-0.987814655721125,0.20191824187758,-4.89215162798426,9.97395558561799e-07,8.75741490601283e-06
"ENSG00000005102",48.8221628048067,-1.63218068808223,0.357655612576591,-4.56355396277392,5.02948746349324e-06,3.64062344964926e-05
"ENSG00000005189",58.3708912302012,-1.5301496479495,0.445539561750065,-3.43437436159231,0.000593923325524774,0.0023847406031034
"ENSG00000005194",680.208189066991,-0.986473871878042,0.217001019641336,-4.54594118271199,5.46903086431246e-06,3.91105399847173e-05
"ENSG00000005249",1915.28860247143,-1.51861710864832,0.323506936953604,-4.69423352385829,2.67608194874844e-06,2.09958985125047e-05
"ENSG00000005302",2134.72387980624,-0.391780811649301,0.142371361124591,-2.75182317956804,0.00592645107880419,0.017260127332745
"ENSG00000005339",3387.79862257561,1.88294077966269,0.274688021725979,6.85483395974602,7.13953953501303e-12,2.44175994975315e-10
"ENSG00000005379",704.750005588571,1.19026483455531,0.275849992384789,4.31489892120419,1.59675946782013e-05,9.96828667769531e-05
"ENSG00000005381",438.029975826618,-1.58640873692478,0.425287704600824,-3.73020127260388,0.00019132686829261,0.000889642663595092
"ENSG00000005436",296.29913859105,-1.21032351151134,0.270608381132407,-4.47260172226204,7.72736208319162e-06,5.28006058027979e-05
"ENSG00000005448",160.288188983937,-1.41341878584905,0.254724535475879,-5.54881289000483,2.87615784501123e-08,3.79824589906721e-07
"ENSG00000005483",4121.0863843064,0.289257718320379,0.10957312055641,2.63986018515796,0.00829402365122324,0.0229782935745483
"ENSG00000005486",475.444814305259,-0.561345399078162,0.224468077796949,-2.50078053230335,0.0123919945244001,0.0322547439830342
"ENSG00000005513",20.7142359105435,-1.13119228730092,0.454665009880055,-2.48796864223032,0.0128475060416033,0.0332654568155686
"ENSG00000005700",1709.528678898,-0.573801509380119,0.157814968459101,-3.63591308849022,0.000276997718383621,0.0012255434827434
"ENSG00000005812",2523.61439938495,-0.773147196981001,0.141124996693969,-5.4784567942813,4.29051321360591e-08,5.42709366500466e-07
"ENSG00000005844",11548.7421954421,0.525341882600969,0.140766974302819,3.73199669313662,0.000189967996044506,0.000883796551396217
"ENSG00000005882",349.903059813087,-0.698967482398601,0.176045210770534,-3.97038623964424,7.17562116905974e-05,0.000374420784656297
"ENSG00000005893",3221.12697385263,1.18202859231363,0.274085816564365,4.31262225506676,1.61329621260811e-05,0.000100570866383203
"ENSG00000005961",3183.26577514365,-2.37830082210997,0.356338326639233,-6.67427734911553,2.4845336131585e-11,7.2929026586469e-10
"ENSG00000006015",466.764721948337,-1.53983079471508,0.198896030761399,-7.7418880046043,9.7951254768858e-15,7.47379530173494e-13
"ENSG00000006282",528.597126550429,-0.957674445302253,0.207958623852275,-4.60512013189001,4.12227821626919e-06,3.06731822222825e-05
"ENSG00000006459",4169.30296633457,0.635563718464198,0.190850444658945,3.33016629644205,0.000867941304978075,0.00331076280564287
"ENSG00000006534",1229.25494027266,-1.11356473076963,0.221894909598784,-5.0184329725414,5.20946627714127e-07,4.90584707693979e-06
