"","SRR8207876","SRR8207877","SRR8207878","SRR8207879","SRR8207880","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"ENSG00000000419",9.09782922212923,9.16130792995032,8.96302524708454,8.97514921032569,8.9979649290178,8.5062534248457,9.14069963933875,8.28463789429951,8.94147565114489,8.46313368628137,7.46095232100217,7.74730111554326,8.0837990633735,7.71954733291765,8.31260732241637
"ENSG00000000460",9.03669486994547,8.72911138492111,7.89587917959243,8.45387229788914,8.71261370481332,8.00776708072664,8.82281867668369,8.15847093729529,8.48439793504448,7.62057577345693,7.59999655424569,7.5553312236285,7.44563896078111,7.57313019828231,7.40541330065213
"ENSG00000000971",9.68267952411088,8.51837393840202,8.25702663407334,8.34229793684199,8.72966569465942,9.1342336717463,8.70083566347354,8.16446221808666,8.1057993251743,7.53036637524576,6.4876716772238,7.13623946969095,7.99288357380238,8.13970698518758,7.11490834309223
"ENSG00000001629",11.5215794084403,11.617130865036,11.2668545237882,11.1521903608041,11.8752684407324,10.7433513072918,11.5183337368571,10.9195547166536,10.9054726591882,10.2849473603021,9.93973866526045,9.93658736921501,10.5288879131691,10.2305744379315,10.2168518506601
"ENSG00000002330",8.63375563030979,8.87606427980308,8.70893903921368,8.61558172649969,9.18321642078885,7.96516587679884,8.93243886365614,8.16144556930917,8.67740132301689,7.71253992765743,7.41717932140219,7.38112824290532,6.92464637539712,6.85205105163239,6.79678436195783
"ENSG00000002746",4.1156349478674,4.91616150167146,4.00946576498165,4.27274213538445,3.98303101295809,5.27642136428207,3.82993385052563,4.55883723000636,5.08397299417051,5.23043966484533,6.06909977268648,6.70826584992431,6.70000624184718,6.56825576225507,6.55070000219885
"ENSG00000002822",9.72200795380432,10.6690726992886,10.4871082029293,10.376657779339,10.340721573915,9.5991410364835,10.307744796916,10.5465962441165,10.0857682620984,9.16931847309837,8.92991983593513,9.08121339709365,8.74483080284616,9.06444260265729,8.94147870187271
"ENSG00000003096",4.35223922439115,5.23705655940032,5.28430802302238,4.9189930697886,7.56165721728767,5.42822303356664,4.49161616096322,4.75298565943999,5.25607992506774,4.653867497983,4.53456804698628,4.34519655459318,4.98073271246679,4.6510848880663,3.95240382048805
"ENSG00000004059",11.7333127895505,11.954719412718,11.7517748098141,11.9496060921197,12.0383317764652,11.0320363500559,11.9581106893442,11.1841114719625,11.6503950850262,11.1326294185147,10.7502931256308,10.3407438612284,10.2509256466524,9.92706040476745,10.1713971382116
"ENSG00000004142",10.2911084852694,10.4734743603662,10.3974571704657,10.466418005005,9.88190924392781,9.75319999358585,10.3153472460746,10.0584068189696,10.3490565274062,9.60502460859254,9.1769376813716,8.80542405493932,9.09152767277883,8.7663922785918,8.89458516190761
"ENSG00000004534",9.50099047511545,10.1374291132231,10.2657766221656,10.1510873755124,9.89709659283619,10.2857547375559,10.0434559403664,10.258448200072,9.888842240732,10.6656941045675,11.0478176036481,11.2054092052049,11.2825542526492,11.1873113457858,11.2103655330961
"ENSG00000004766",11.0445988063829,10.8909186203665,10.6081236786455,10.7969639548155,10.806909240407,10.5789981657658,11.0721741225791,10.0189074990374,10.6083908287701,10.0423153578449,8.43548513437904,9.06291181934065,9.62511527614718,9.71299353213598,9.99611873611784
"ENSG00000004779",8.17833497584567,9.00237410456549,8.72205628763564,8.22053053589486,8.56054956047945,8.2814885304696,8.55067791656848,8.51237843039203,8.52770936543533,8.34514798276351,7.58006762103771,7.24229391468033,7.46115228758485,7.8181054805379,7.29004710032742
"ENSG00000004799",10.5720849867155,10.1786179542144,10.472490878366,10.0121967214116,10.1682690154124,9.78620168022099,10.3435864788477,8.1921967566749,10.4997560597533,8.83420679119431,9.14315638171026,7.8724715382489,9.04342291488194,8.42445757447289,8.74462961322903
"ENSG00000004809",7.55060116448462,6.58862820910515,6.71654049018771,7.83663380408976,6.90980944857525,7.83561828958439,6.93283551592216,6.1875322808299,7.35635439453343,5.95163262326058,6.8398829088976,5.89162039912029,5.71498576461029,5.94883910425916,6.10985279156634
"ENSG00000004838",3.91151555941948,5.156752942166,4.21918597974777,4.85770229836175,5.10027675651716,4.3601293251226,4.82627591093541,3.94670034159125,5.06465422769773,4.57557211313038,5.67864202804922,5.0194515708443,5.45013793297673,4.89722982811986,5.42507212595856
"ENSG00000005102",5.71315643622507,7.22961118015432,6.29858185617359,6.14133554580469,6.36061899516389,5.74455647541719,6.50997890163188,6.51338515384303,5.90213247913445,6.295480332858,4.85353001568188,5.53321204709768,5.53387071299031,5.09417053486316,4.74152392422379
"ENSG00000005189",6.67553237719337,7.14029503581139,5.72172761088978,6.54778015352364,6.98820213203907,5.22229992600002,7.24876566413606,6.45394137079846,6.20515975217053,5.77725630834735,5.94138653621295,4.56000900861161,5.16124108652926,5.92106237002109,4.98515252135312
"ENSG00000005249",11.0206756597922,10.5488346069346,10.8194650260017,11.0528859904799,11.3768371502714,11.4222820914221,9.98561154989181,12.4067997293795,11.3831978838369,11.3571738825022,8.80886012607976,9.21810343769844,10.4686702154401,9.68889272283917,10.0715592537242
"ENSG00000005339",9.94864014738739,10.6455097231075,10.3211177326108,10.6066162234276,10.5473212811205,11.1768322517994,9.83845253543906,11.2265490185386,10.8850039817343,11.8193677471295,12.8877221962337,12.7581598534853,12.7041400245648,12.275527151517,12.753564452353
